t,swll,k,simulation
99,-4.165336301076422,22,Step-change
100,-3.6264056782507623,22,Step-change
1,0.0,23,Step-change
2,0.0,23,Step-change
3,-24.53871319416467,23,Step-change
4,-16.945955093069472,23,Step-change
5,-10.481233086589725,23,Step-change
6,-7.843145422593267,23,Step-change
7,-6.804136415456753,23,Step-change
8,-3.464270218348531,23,Step-change
9,-5.445820269314737,23,Step-change
10,-3.1326616103146137,23,Step-change
11,-4.75497752207869,23,Step-change
12,-3.481906107851785,23,Step-change
13,-4.761811446885076,23,Step-change
14,-6.583716268272383,23,Step-change
15,-3.5934508685707556,23,Step-change
16,-3.9351179662491518,23,Step-change
17,-3.8553910925885475,23,Step-change
18,-3.795372165265263,23,Step-change
19,-3.3205139981858167,23,Step-change
20,-4.747537217261268,23,Step-change
21,-4.367178116596591,23,Step-change
22,-2.87204880498858,23,Step-change
23,-3.497284641136062,23,Step-change
24,-2.936562899240201,23,Step-change
25,-2.83627515492023,23,Step-change
26,-2.8674929077290727,23,Step-change
27,-3.675968780032946,23,Step-change
28,-4.313649360895141,23,Step-change
29,-18.45421431875519,23,Step-change
30,-9.561498012858465,23,Step-change
31,-7.786246372275627,23,Step-change
32,-10.67621716217451,23,Step-change
33,-9.499647476598113,23,Step-change
34,-8.03283921179505,23,Step-change
35,-7.71285329195905,23,Step-change
36,-4.936019778957842,23,Step-change
37,-14.432307855507133,23,Step-change
38,-6.657974272643912,23,Step-change
39,-7.138727386832386,23,Step-change
40,-9.236911023437983,23,Step-change
41,-7.149129968906948,23,Step-change
42,-3.611706635090684,23,Step-change
43,-4.290178521346945,23,Step-change
44,-3.3520483341609406,23,Step-change
45,-9.659638261138582,23,Step-change
46,-3.5161361230041734,23,Step-change
47,-4.556285868376278,23,Step-change
48,-3.6403296723548806,23,Step-change
49,-3.435796040289972,23,Step-change
50,-3.5023625228171795,23,Step-change
51,-3.4825609325815776,23,Step-change
52,-4.271385709454876,23,Step-change
53,-3.9115303606812404,23,Step-change
54,-4.391064781910018,23,Step-change
55,-3.628044280774361,23,Step-change
56,-43.193982338089995,23,Step-change
57,-48.548434147997455,23,Step-change
58,-29.011609678061404,23,Step-change
59,-30.38705350474214,23,Step-change
60,-26.712616476101118,23,Step-change
61,-16.72440717878351,23,Step-change
62,-17.630024322039503,23,Step-change
63,-15.692237565106211,23,Step-change
64,-17.76472904439487,23,Step-change
65,-9.186377483715034,23,Step-change
66,-9.946732014068175,23,Step-change
67,-9.476332107364385,23,Step-change
68,-7.666985103629884,23,Step-change
69,-7.078905593498234,23,Step-change
70,-4.280356269489573,23,Step-change
71,-6.046511976134411,23,Step-change
72,-4.51014546963745,23,Step-change
73,-4.343694653211912,23,Step-change
74,-4.626390687410407,23,Step-change
75,-5.0862842460500985,23,Step-change
76,-2.9782787260629107,23,Step-change
77,-2.884848890183491,23,Step-change
78,-3.083798087817314,23,Step-change
79,-3.207178257567705,23,Step-change
80,-3.048615955734192,23,Step-change
81,-2.6773738941218426,23,Step-change
82,-2.964868509801221,23,Step-change
83,-2.685496484668846,23,Step-change
84,-13.07895993361268,23,Step-change
85,-16.447094010555475,23,Step-change
86,-19.215215903137505,23,Step-change
87,-13.825987150617607,23,Step-change
88,-21.848805172357004,23,Step-change
89,-18.175399846618177,23,Step-change
90,-21.30459961863818,23,Step-change
91,-11.1278327657879,23,Step-change
92,-11.528837807582761,23,Step-change
93,-8.027575513655506,23,Step-change
94,-9.222023441008105,23,Step-change
95,-9.694632736789004,23,Step-change
96,-6.091097681408712,23,Step-change
97,-5.905746680168022,23,Step-change
98,-10.507917430665884,23,Step-change
99,-4.45575966940612,23,Step-change
100,-3.4941556006064047,23,Step-change
1,0.0,24,Step-change
